https://www.random.org/integers/?num=45&min=1&max=100&col=1&base=10&format=plain&rnd=date.2021-02-18
66,9,37,52,4,28,25,69,3,1,49,89,52,61,37,98,36,77,2,12,11,98,27,96,75,66,40,84,77,25,44,61,68,55,84,2,88,16,6,57,70,77,91,51,19

1,2,3,4,5,6,7,8,9,10
0,66,9,37,52,4,28,25,69,3
66,0,1,49,89,52,61,37,98,36
9,1,0,77,2,12,11,98,27,96
37,49,77,0,75,66,40,84,77,25
52,89,2,75,0,44,61,68,55,84
4,52,12,66,44,0,2,88,16,6
28,61,11,40,61,2,0,57,70,77
25,37,98,84,68,88,57,0,91,51
69,98,27,77,55,16,70,91,0,19
3,36,96,25,84,6,77,51,19,0
