https://www.random.org/integers/?num=45&min=1&max=10000&col=45&base=10&format=html&rnd=date.2024-11-20
4933,7869,3144,2047,2535,3153,3027,7598,5821,7246,7307,3786,938,7367,976,1913,2521,1185,4790,8351,4441,2329,2388,6275,3775,1825,5830,3521,2187,7705,3190,2766,7178,3048,2087,8618,8406,7041,9004,5156,8879,8977,9139,4642,421

1,2,3,4,5,6,7,8,9,10
0,4933,7869,3144,2047,2535,3153,3027,7598,5821
4933,0,7246,7307,3786,938,7367,976,1913,2521
7869,7246,0,1185,4790,8351,4441,2329,2388,6275
3144,7307,1185,0,3775,1825,5830,3521,2187,7705
2047,3786,4790,3775,0,3190,2766,7178,3048,2087
2535,938,8351,1825,3190,0,8618,8406,7041,9004
3153,7367,4441,5830,2766,8618,0,5156,8879,8977
3027,976,2329,3521,7178,8406,5156,0,9139,4642
7598,1913,2388,2187,3048,7041,8879,9139,0,421
5821,2521,6275,7705,2087,9004,8977,4642,421,0
