1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
0,7943,7007,5671,10751,9018,7038,541,6099,2360,5698,3568,3718,5945,1693,8358,10123,5973,8604,7219,7679,7176,5180,7095,8282,4146,5924,8434,8751,4853,6732,1153,5878,2071,5144,7794,3716,2703,5792,7840,7562,8870,1363,4195,1966,9367,3940,2392,5449,4959,5306,2815,5696,5724,8221,8309,8398,6604,632,5363,8640,2658,544,7945,7447,6877,8253,7024,3224,7763,6111,2036,2650,404,5870,8947,4863,6605,4930,7512,5748,7213,8518,6042,4537,8837,3138,7880,657,9176,8369,6438,822,3929,7149,8342,6046,750,4494,998
7943,0,6204,5434,3578,3347,5410,8217,6885,5637,2492,5986,7539,3059,7422,3630,2924,2768,1037,1956,4990,4085,8346,5330,1300,4249,5711,7745,6187,3149,2557,7203,6318,5941,2919,5459,7280,5571,6025,2814,2147,4615,7162,3749,6020,3254,8406,7209,3886,4224,7716,7753,7376,6509,2214,369,6470,5107,7334,5082,841,9279,7945,2845,2161,1160,5082,1239,8098,4149,2036,5976,6861,8028,2932,1015,4451,1923,3216,5383,4001,4627,1857,2746,4782,1486,6285,5877,8583,2556,4196,1559,7136,4132,838,1989,4758,8366,5097,7483
7007,6204,0,1462,9732,9352,827,6843,10444,5357,6242,3452,9376,3415,5418,9321,9101,7006,7238,7363,10004,9057,10809,9934,7428,3960,9514,12272,11372,5730,3661,5855,9922,5464,5935,10400,9199,6690,9660,8444,4156,10282,5646,5335,6227,9371,10051,8216,2858,7549,10505,8906,10527,9962,8153,6446,11404,1114,6490,8654,6208,9556,6598,3718,7696,6095,10355,5046,9399,9427,6192,6294,8121,6767,7078,6672,2854,4402,4375,10199,2527,9486,5034,3724,2930,5734,3869,10739,7338,8726,9755,5893,6384,5987,6047,8020,1651,6834,2771,6030
5671,5434,1462,0,9013,8357,1375,5561,9026,3904,5017,2108,7915,2405,4165,8223,8356,5773,6464,6293,8749,7822,9348,8623,6554,2531,8128,10913,10118,4409,2921,4521,8514,4024,4646,9124,7737,5229,8258,7362,3641,9153,4324,3944,4775,8435,8594,6763,1656,6178,9052,7455,9085,8543,7171,5730,10109,1000,5122,7268,5624,8162,5301,3470,6630,5094,9136,4206,7946,8234,5037,4839,6662,5465,5827,6083,1452,3522,3081,8910,1443,8221,4664,2729,1475,5308,2556,9445,6056,7846,8611,4822,5002,4573,5110,7077,759,5576,1311,4720
10751,3578,9732,9013,0,2190,8920,11124,7555,8651,5092,9418,9225,6630,10588,3085,672,4791,2554,3532,4800,4422,9490,5504,2599,7611,6536,7291,5311,5987,6122,10234,7112,8947,5667,5171,8976,8101,6885,3105,5585,3511,10243,6727,8789,1711,10032,9390,7449,6051,8768,9756,8244,7371,2548,3296,5854,8653,10201,6339,3552,11446,10878,6147,3318,4168,4474,4811,9963,4009,4731,8715,8998,10925,4908,3101,7981,5497,6566,5284,7578,4813,4866,6313,8290,4171,9665,5539,11408,1590,3542,4576,10005,6835,4026,2409,8332,11302,8613,10504
9018,3347,9352,8357,2190,0,8601,9441,5365,7124,3662,8284,7124,5979,9110,894,1876,3122,2493,2108,2628,2252,7311,3317,2051,6468,4359,5244,3337,4552,5717,8660,4927,7401,4222,3025,6882,6318,4707,1189,5473,1513,8706,5305,7099,480,7907,7419,6705,4119,6587,7722,6057,5188,1199,3270,3812,8238,8518,4230,3817,9429,9217,6191,1782,3270,2368,4333,7889,1819,3445,7012,7022,9240,3192,3517,7102,4951,5489,3114,6934,2623,5137,5657,7340,4582,8446,3416,9669,1046,1386,3544,8330,5228,3307,1365,7782,9633,7669,8915
7038,5410,827,1375,8920,8601,0,6935,9987,5174,5616,3482,9104,2738,5540,8608,8295,6378,6441,6648,9374,8416,10491,9348,6650,3588,9009,11725,10737,5182,2888,5890,9449,5323,5358,9783,8911,6400,9177,7729,3339,9580,5696,4870,6038,8602,9821,8014,2314,7035,10141,8709,10119,9507,7403,5642,10799,496,6480,8153,5390,9498,6675,2891,6977,5364,9700,4277,9197,8760,5526,6093,7882,6838,6461,5853,2486,3652,3830,9594,1944,8865,4207,3029,2664,4908,3931,10135,7431,7945,9061,5191,6353,5550,5294,7258,1149,6951,2594,6093
541,8217,6843,5561,11124,9441,6935,0,6638,2582,6045,3455,4253,6056,1430,8803,10487,6366,8920,7595,8175,7647,5705,7604,8622,4269,6446,8972,9266,5178,6856,1111,6412,2280,5481,8301,4254,3148,6321,8257,7703,9342,1263,4487,2345,9777,4448,2932,5500,5417,5843,3341,6237,6261,8608,8585,8921,6522,925,5868,8886,3027,285,8038,7835,7180,8746,7247,3737,8232,6443,2429,3189,200,6271,9211,4882,6790,5126,8020,5774,7702,8686,6180,4534,9041,3005,8396,496,9559,8834,6740,1119,4289,7440,8717,5995,213,4452,860
6099,6885,10444,9026,7555,5365,9987,6638,0,5623,4784,7682,2621,7443,7165,4471,7176,4199,6762,5006,2826,3176,2055,2073,6185,6495,1175,2336,3177,4872,7795,6469,578,5719,4785,2591,2503,4119,875,4656,8173,4285,6644,5120,4954,5844,3073,3735,7675,3012,1347,3557,741,483,5426,7101,2638,9498,5932,1910,7710,5079,6553,8912,4930,5870,3310,6931,3424,3547,5124,4845,3449,6474,4046,7699,7591,7104,6182,2381,8052,2743,8540,7253,7563,8356,7539,2398,6592,6167,4060,5668,5827,4457,6177,5708,8855,6849,7795,6601
2360,5637,5357,3904,8651,7124,5174,2582,5623,0,3562,2116,4058,3634,1988,6592,7999,4002,6367,5155,6328,5617,5542,5915,6102,1849,5008,7805,7587,2664,4402,1588,5210,304,2984,6565,3906,1510,5017,5938,5217,7274,1594,1935,871,7413,4698,2859,3244,3417,5348,3551,5502,5158,6185,6005,7376,4695,1730,4230,6304,4401,2309,5639,5425,4620,6857,4673,4042,6176,3926,940,2780,2397,3938,6629,2758,4245,2570,6297,3586,5806,6160,3704,2515,6479,1918,6764,2973,7116,6733,4180,1538,1903,4869,6262,4070,2729,2598,1864
