https://www.random.org/integers/?num=190&min=1&max=1000&col=1&base=10&format=plain&rnd=date.2021-02-18
521,531,208,602,8,942,924,858,563,785,65,225,780,103,412,819,148,380,707,570,514,89,689,619,643,635,461,195,756,974,913,878,305,216,127,890,24,911,140,204,357,402,147,586,963,647,872,886,121,669,345,829,610,659,241,616,590,935,146,437,503,347,826,188,569,737,860,841,365,412,679,575,643,311,213,17,53,695,972,667,555,803,870,772,607,174,211,552,743,189,716,920,938,814,349,182,390,774,544,394,402,10,366,718,71,971,453,539,826,561,987,50,146,646,549,297,498,402,396,1000,572,702,176,270,47,641,404,787,429,288,154,690,945,803,902,220,423,168,873,645,643,683,259,672,642,392,376,596,12,955,582,910,322,802,137,102,36,331,601,713,108,596,663,514,541,421,739,72,106,786,379,867,278,836,675,342,514,848,869,391,396,787,736,911,519,739,484,935,257,516

1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,521,531,208,602,8,942,924,858,563,785,65,225,780,103,412,819,148,380,707
521,0,570,514,89,689,619,643,635,461,195,756,974,913,878,305,216,127,890,24
531,570,0,911,140,204,357,402,147,586,963,647,872,886,121,669,345,829,610,659
208,514,911,0,241,616,590,935,146,437,503,347,826,188,569,737,860,841,365,412
602,89,140,241,0,679,575,643,311,213,17,53,695,972,667,555,803,870,772,607
8,689,204,616,679,0,174,211,552,743,189,716,920,938,814,349,182,390,774,544
942,619,357,590,575,174,0,394,402,10,366,718,71,971,453,539,826,561,987,50
924,643,402,935,643,211,394,0,146,646,549,297,498,402,396,1000,572,702,176,270
858,635,147,146,311,552,402,146,0,47,641,404,787,429,288,154,690,945,803,902
563,461,586,437,213,743,10,646,47,0,220,423,168,873,645,643,683,259,672,642
785,195,963,503,17,189,366,549,641,220,0,392,376,596,12,955,582,910,322,802
65,756,647,347,53,716,718,297,404,423,392,0,137,102,36,331,601,713,108,596
225,974,872,826,695,920,71,498,787,168,376,137,0,663,514,541,421,739,72,106
780,913,886,188,972,938,971,402,429,873,596,102,663,0,786,379,867,278,836,675
103,878,121,569,667,814,453,396,288,645,12,36,514,786,0,342,514,848,869,391
412,305,669,737,555,349,539,1000,154,643,955,331,541,379,342,0,396,787,736,911
819,216,345,860,803,182,826,572,690,683,582,601,421,867,514,396,0,519,739,484
148,127,829,841,870,390,561,702,945,259,910,713,739,278,848,787,519,0,935,257
380,890,610,365,772,774,987,176,803,672,322,108,72,836,869,736,739,935,0,516
707,24,659,412,607,544,50,270,902,642,802,596,106,675,391,911,484,257,516,0
