Best Solution Found: (25395)
01 18 44 24 58 05 23 57 12 27 43 49 47 51 52 10 35 41 02 54 55 48 03 29 33 45 56 46 34 15 37 14 28 06 19 26 17 36 21 39 11 31 07 38 42 16 22 08 04 50 53 20 32 09 25 40 13 30 01

01 18 = 330
18 44 = 114
44 24 = 452
24 58 = 259
58 05 = 851
05 23 = 324
23 57 = 432
57 12 = 248
12 27 = 257
27 43 = 184
43 49 = 339
49 47 = 86
47 51 = 72
51 52 = 102
52 10 = 80
10 35 = 75
35 41 = 148
41 02 = 98
02 54 = 137
54 55 = 112
55 48 = 288
48 03 = 279
03 29 = 287
29 33 = 478
33 45 = 213
45 56 = 312
56 46 = 254
46 34 = 229
34 15 = 262
15 37 = 528
37 14 = 137
14 28 = 224
28 06 = 189
06 19 = 138
19 26 = 178
26 17 = 129
17 36 = 114
36 21 = 524
21 39 = 607
39 11 = 455
11 31 = 3045
31 07 = 785
07 38 = 1686
38 42 = 544
42 16 = 1990
16 22 = 932
22 08 = 209
08 04 = 2120
04 50 = 806
50 53 = 446
53 20 = 634
20 32 = 537
32 09 = 228
09 25 = 130
25 40 = 125
40 13 = 135
13 30 = 211
30 01 = 307
